ISBN;Title;Authors;Publisher;Edition;Location;Genre;Price;MaxLoanDays;MediaType;CreatedBy
9780140062861;Finnegans Wake;James Joyce;Spoken Arts;128;Shelf-30;Facsimiles;44.19;14;Magazin;import
0028614755;Age of fable;Thomas Bulfinch;D. McKay;163;Shelf-23;Adaptations;10.62;14;Book;import
170493690X;Jenseits von Gut und Böse;Friedrich Nietzsche;Spastic Cat Press;210;Shelf-33;Ethics;24.65;14;E-Book;import
9780060582548;Matilda;Roald Dahl;Jonathan Cape;149;Shelf-6;juvenile fiction;29.59;14;Magazin;import
2702405614;Sleeping Murder;Agatha Christie;Econo-Clad Books;117;Shelf-8;Fiction;10.28;14;E-Book;import
8842702730;Kritik der reinen Vernunft;Immanuel Kant;Oliver and Boyd;153;Shelf-13;Reason;28.56;14;Book;import
9788629569894;Arsène Lupin, gentleman-cambrioleur;Maurice Leblanc;Creative Media Partners, LLC;183;Shelf-20;Fiction;17.28;14;Magazin;import
9788629569894;Arsène Lupin, gentleman-cambrioleur;Maurice Leblanc;Creative Media Partners, LLC;183;Shelf-1;Fiction;16.74;14;DVD;import
9788629569894;Arsène Lupin, gentleman-cambrioleur;Maurice Leblanc;Creative Media Partners, LLC;183;Shelf-5;Fiction;16.70;14;Book;import
9781548833152;Rayuela;Julio Cortázar;La Repubblica;129;Shelf-19;Chronology;42.94;14;E-Book;import
9781548833152;Rayuela;Julio Cortázar;La Repubblica;129;Shelf-33;Chronology;14.21;14;E-Book;import
9781548833152;Rayuela;Julio Cortázar;La Repubblica;129;Shelf-15;Chronology;28.65;14;Book;import
0141194014;The golden bough;James George Frazer|Theodor Herzl Gaster|George W. Stocking;Collier Books, Macmillan Publishing Company;371;Shelf-35;Mythology;14.63;14;Magazin;import
0141194014;The golden bough;James George Frazer|Theodor Herzl Gaster|George W. Stocking;Collier Books, Macmillan Publishing Company;371;Shelf-20;Mythology;31.96;14;Magazin;import
1512110353;The Story of Philosophy;Will Durant;Time;141;Shelf-23;Philosophers;18.69;14;E-Book;import
1512110353;The Story of Philosophy;Will Durant;Time;141;Shelf-11;Philosophers;12.04;14;DVD;import
898567546X;Fairy Tales and Stories;Hans Christian Andersen;Langensch.-Hachette, M;145;Shelf-5;Fairy tales;17.18;14;Magazin;import
9780140187380;The Pearl;John Steinbeck;Todŭl Saegim;143;Shelf-22;American fiction (fictional works by one author);14.72;14;DVD;import
9584302019;A Farewell to Arms;Ernest Hemingway;Scribners;100;Shelf-35;Cuentos de guerra;10.91;14;Magazin;import
1551113279;The Island of Dr. Moreau;H. G. Wells;Berkley Publishing;295;Shelf-18;Islands;27.11;14;E-Book;import
8497874528;The Lost Symbol;Dan Brown;labutxaca;120;Shelf-38;Suspense & Thriller;12.40;14;E-Book;import
9781493598984;The Awakening;Kate Chopin;Turtleback;346;Shelf-30;Adultery;29.73;14;Magazin;import
9781537213354;Manifest der Kommunistischen Partei;Karl Marx|Friedrich Engels;H. Regnery Co.;157;Shelf-31;Communism;25.56;14;DVD;import
9781537213354;Manifest der Kommunistischen Partei;Karl Marx|Friedrich Engels;H. Regnery Co.;157;Shelf-37;Communism;12.61;14;Magazin;import
9782264029454;Beloved;Toni Morrison;Vintage Books;104;Shelf-39;African American History;16.04;14;Book;import
9798481877518;The Jewel of Seven Stars;Bram Stoker;Creative Media Partners, LLC;653;Shelf-5;Mummies;30.54;14;Magazin;import
9781848703629;The Great Gatsby;F. Scott Fitzgerald;Heyne Hörbuch, Mchn.;1176;Shelf-28;Married people, fiction;30.47;14;Magazin;import
9781848703629;The Great Gatsby;F. Scott Fitzgerald;Heyne Hörbuch, Mchn.;1176;Shelf-37;Married people, fiction;36.55;14;Book;import
4102122028;Terre des hommes;Antoine de Saint-Exupéry;Sanderus;120;Shelf-15;20th century;16.60;14;Book;import
4102122028;Terre des hommes;Antoine de Saint-Exupéry;Sanderus;120;Shelf-6;20th century;40.43;14;Magazin;import
4102122028;Terre des hommes;Antoine de Saint-Exupéry;Sanderus;120;Shelf-27;20th century;16.39;14;Book;import
9798525043589;Tess of the d'Urbervilles;Thomas Hardy;HarperCollins Publishers Limited;747;Shelf-4;Fiction;22.64;14;E-Book;import
9798621394370;The Sun Also Rises;Ernest Hemingway;;162;Shelf-39;Fiction, Historical;17.21;14;Magazin;import
9798548926715;Casino Royale;Ian Fleming;Penguin (Non-Classics);141;Shelf-26;British;13.84;14;Book;import
9798468933008;A Room of One's Own;Virginia Woolf;Robert Marin;303;Shelf-30;Authorship;20.72;14;E-Book;import
1513264516;Ulysses;James Joyce|James Joyce|james joyce;The Modern Library;610;Shelf-5;Married people;41.98;14;Book;import
9781548885748;Смерть Ивана Ильича;Лев Толстой|Anthony Briggs|Anthony Horvath|Constance Black Garnett|Zinc Read;Independently published;188;Shelf-35;Literature;15.07;14;Book;import
1980454981;The Horse and His Boy;C.S. Lewis;Dog an Egmont;169;Shelf-21;Fantasy;41.23;14;E-Book;import
1980454981;The Horse and His Boy;C.S. Lewis;Dog an Egmont;169;Shelf-6;Fantasy;32.04;14;Magazin;import
1529198240;50 Fifty Shades of Grey;E. L. James;;138;Shelf-27;Man-woman relationships, fiction;25.78;14;Magazin;import
9780545638197;Catching Fire;Suzanne Collins;Scholastic Inc.;103;Shelf-28;Action/Adventure;30.24;14;E-Book;import
9780060904302;Sein und Zeit;Martin Heidegger;Authentica;114;Shelf-13;Espace et temps;21.16;14;DVD;import
9781986942942;Carmilla;Sheridan Le Fanu;Editorial Alma;571;Shelf-8;English Fantasy fiction;19.75;14;Magazin;import
9788401009129;Dune;Frank Herbert;Orion Pub Co;121;Shelf-11;Dune (Imaginary place);18.59;14;DVD;import
9788432230530;One Flew Over the Cuckoo's Nest;Ken Kesey;Viking Press;102;Shelf-30;Allegories;32.74;14;Magazin;import
0606320911;Carrie;Stephen King;Hodder & Stoughton;116;Shelf-39;occult & supernatural fiction;44.88;14;Magazin;import
9781402567452;Angels & Demons;Dan Brown;Ediciones Urano;168;Shelf-1;heparin;15.13;14;Book;import
9781338299199;Harry Potter and the Half-Blood Prince;J.K. Rowling|Mary GrandPré;Salamandra;151;Shelf-37;orphans;25.03;14;Book;import
9781338299199;Harry Potter and the Half-Blood Prince;J.K. Rowling|Mary GrandPré;Salamandra;151;Shelf-26;orphans;26.34;14;E-Book;import
9781850891086;The Last Battle;C.S. Lewis;Annette Betz Verlag;106;Shelf-35;Juvenile Fiction;38.33;14;E-Book;import
9780140390360;Martin Eden;Jack London;Audiofy/Jimcin;168;Shelf-14;Fiction;13.43;14;Magazin;import
1980568308;Tom Sawyer, Detective;Mark Twain;Bernhard Tauchnitz;276;Shelf-31;Fiction;36.01;14;Magazin;import
1980568308;Tom Sawyer, Detective;Mark Twain;Bernhard Tauchnitz;276;Shelf-0;Fiction;37.00;14;DVD;import
9788170554240;Meghadūta;Kālidāsa;Booksellers' Pub. Co.;114;Shelf-38;Sanskrit Love poetry;41.06;14;E-Book;import
9788170554240;Meghadūta;Kālidāsa;Booksellers' Pub. Co.;114;Shelf-20;Sanskrit Love poetry;20.31;14;DVD;import
9798735795667;Kim;Rudyard Kipling;Troll Communications;934;Shelf-20;Fiction;28.17;14;DVD;import
0143129481;East of Eden;John Steinbeck;Bonniers;104;Shelf-14;migrant labor;12.41;14;DVD;import
0143129481;East of Eden;John Steinbeck;Bonniers;104;Shelf-27;migrant labor;10.15;14;Magazin;import
0143129481;East of Eden;John Steinbeck;Bonniers;104;Shelf-25;migrant labor;38.73;14;Book;import
9781857237207;Ender's Game;Orson Scott Card;ATOM;104;Shelf-39;New York Times bestseller;26.42;14;DVD;import
8420448753;The BFG;Roald Dahl;Penguin Books Limited;136;Shelf-32;Open Library Staff Picks;25.84;14;E-Book;import
9865829800;The Kite Runner;Khaled Hosseini;Salamandra Ediciones;121;Shelf-12;New York Times bestseller;39.91;14;E-Book;import
9865829800;The Kite Runner;Khaled Hosseini;Salamandra Ediciones;121;Shelf-7;New York Times bestseller;29.92;14;Book;import
9789571323831;O Alquimista;Paulo Coelho;Independently published;140;Shelf-32;Translations into Indonesian;20.86;14;Book;import
9798591027919;Emily of New Moon;Lucy Maud Montgomery;Emece Editores;445;Shelf-40;Juvenile fiction;23.25;14;DVD;import
014118504X;Lolita;Vladimir Nabokov;Crest Books;228;Shelf-15;erotic fiction;10.43;14;DVD;import
0062847899;Murder on the Orient Express;Agatha Christie;Espasa;247;Shelf-8;Agatha Christie;16.24;14;E-Book;import
5267000159;A Portrait of the Artist as a Young Man;James Joyce;Viking Press;343;Shelf-35;Fiction;21.10;14;DVD;import
0671466054;R.U.R. and The insect play;Karel Čapek|Josef Čapek;Pocket;147;Shelf-23;Czech drama;43.68;14;DVD;import
9780141033761;The Riddle of the Sands;Erskine Childers;Macmillan Collector's Library;531;Shelf-38;Great britain, fiction;32.12;14;Magazin;import
0965668355;The Subtle Knife;Philip Pullman;Gallimard;104;Shelf-13;Fantasy;32.77;14;Magazin;import
9780345391803;The Hitch Hiker's Guide to the Galaxy;Douglas Adams;Turtleback Books;122;Shelf-31;comic science fiction;31.50;14;Book;import
9780345391803;The Hitch Hiker's Guide to the Galaxy;Douglas Adams;Turtleback Books;122;Shelf-33;comic science fiction;43.60;14;Magazin;import
9780061927607;The Silmarillion;J.R.R. Tolkien;MINOTAURO;149;Shelf-1;Fantasy fiction;15.14;14;Book;import
9781594133558;Harry Potter and the Deathly Hallows;J.K. Rowling;Salamandra;126;Shelf-0;the Elder Wand;43.00;14;DVD;import
9798447424886;The Prince and the Pauper;Mark Twain;Yearling;755;Shelf-26;Readers;30.58;14;E-Book;import
3423017368;Sult;Knut Hamsun;Barnes & Noble, Incorporated;154;Shelf-30;Fiction Classics;36.66;14;E-Book;import
3502518262;Five Little Pigs;Agatha Christie;Dell;110;Shelf-28;Hercule Poirot (Fictitious character);29.11;14;DVD;import
3502518262;Five Little Pigs;Agatha Christie;Dell;110;Shelf-23;Hercule Poirot (Fictitious character);31.92;14;E-Book;import
3502518262;Five Little Pigs;Agatha Christie;Dell;110;Shelf-20;Hercule Poirot (Fictitious character);41.58;14;DVD;import
1556909772;The Jungle;Upton Sinclair;Peachtree;673;Shelf-28;Slaughtering and slaughter-houses;18.66;14;DVD;import
1556909772;The Jungle;Upton Sinclair;Peachtree;673;Shelf-39;Slaughtering and slaughter-houses;12.15;14;DVD;import
9781451621174;Catch-22;Joseph Heller;Dell;134;Shelf-35;Open Library Staff Picks;29.07;14;E-Book;import
9781074547516;Herland;Charlotte Perkins Gilman;tredition Verlag;355;Shelf-28;Utopias;11.08;14;Magazin;import
9781718901391;The Iron Heel;Jack London;Tutis Digital Publishing Pvt. Limited;594;Shelf-29;Revolutions, fiction;19.05;14;DVD;import
9781718901391;The Iron Heel;Jack London;Tutis Digital Publishing Pvt. Limited;594;Shelf-23;Revolutions, fiction;39.25;14;DVD;import
9781718901391;The Iron Heel;Jack London;Tutis Digital Publishing Pvt. Limited;594;Shelf-36;Revolutions, fiction;15.11;14;E-Book;import
9781520885384;The Return of Sherlock Holmes;Arthur Conan Doyle;Longman;545;Shelf-6;air guns;23.98;14;Book;import
9782207246382;The Martian Chronicles;Ray Bradbury;Mondarori;138;Shelf-14;American Science fiction;39.12;14;DVD;import
9782207246382;The Martian Chronicles;Ray Bradbury;Mondarori;138;Shelf-34;American Science fiction;29.98;14;Book;import
9781641813334;The Woman in White;Wilkie Collins;A.L. Burt;425;Shelf-12;Fiction;38.01;14;Book;import
9798986210452;The Last Man;Mary Shelley;tredition Verlag;430;Shelf-31;Fiction;25.99;14;DVD;import
9798708222466;The Secret Agent;Joseph Conrad;Waveland Press;335;Shelf-20;Anarchists, fiction;17.96;14;Book;import
0006130062;Death on the Nile;Agatha Christie;Macmillan Audio;186;Shelf-24;Belgians;29.40;14;Magazin;import
8467033819;La casa de los espíritus;Isabel Allende;Rayo;110;Shelf-12;Chilean literature;13.51;14;DVD;import
8467033819;La casa de los espíritus;Isabel Allende;Rayo;110;Shelf-13;Chilean literature;42.00;14;E-Book;import
8420666262;Mrs. Dalloway;Virginia Woolf;Manesse Verlag;476;Shelf-40;Fiction;41.66;14;DVD;import
1572703563;The Mystery of the Blue Train;Agatha Christie;RBA Coleccionables, S.A.;124;Shelf-8;Crimes against;36.65;14;Magazin;import
0877207364;Robinson Crusoe;Daniel Defoe;Tyndale House Publishers;549;Shelf-10;Robinson Cusoe;25.95;14;E-Book;import
0877207364;Robinson Crusoe;Daniel Defoe;Tyndale House Publishers;549;Shelf-38;Robinson Cusoe;16.49;14;E-Book;import
9781404367968;The history of the great plague in London in the year 1665;Daniel Defoe;Barnes & Noble;293;Shelf-2;Early works to 1800;10.46;14;Magazin;import
1603843086;Metamorphoses;Ovid;P. Dry Books;491;Shelf-21;Poetry;23.49;14;Book;import
9780160723797;The Constitution of the United States and related documents;United States;For sale by the Supt. of Docs., U.S. G.P.O.;146;Shelf-18;Constitutions, united states;32.67;14;E-Book;import
9788495311818;Candide;Voltaire|William Fleming|Philip Littell|Jack Davenport;Brand: Capricorn Pr;1079;Shelf-40;Conduct of life;40.81;14;DVD;import
